destino_limpio,n_predios,sup_construida_total_m2,pisos_mediana,valor_m2_mediana,pct_predios,pct_sup_construida
Habitacional,1269,78316.0,18.0,266986.0,0.45240641711229945,0.6561272107304731
Estacionamiento,718,10470.0,17.0,266986.0,0.2559714795008913,0.08771709352301003
Bodega / Almacenaje,662,4934.0,17.0,266986.0,0.23600713012477717,0.04133678504704217
Comercio,130,13772.0,1.0,442048.0,0.04634581105169341,0.11538107086904432
Industria,15,8058.0,1.0,266986.0,0.0053475935828877,0.06750948802372635
Otro / sin clasificar,6,975.0,0.5,266986.0,0.0021390374331550803,0.008168497247844773
Oficina,3,1386.0,1.0,442048.0,0.0010695187165775401,0.011611833010782417
Deporte y recreación,1,307.0,2.0,259551.0,0.00035650623885918,0.0025720293898342005
Educación y cultura,1,1143.0,2.0,331423.0,0.00035650623885918,0.009575992158242641
